Territorialidades,IDHM 2000,IDHM 2010,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 2000,IDHM Educação 2010,Subíndice de frequência escolar - IDHM Educação 2000,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2000,Subíndice de escolaridade - IDHM Educação 2010,Renda per capita 2012,Renda per capita 2013,Renda per capita 2014,Renda per capita 2015,Subíndice de escolaridade - IDHM Educação 2012,Subíndice de escolaridade - IDHM Educação 2013,Subíndice de escolaridade - IDHM Educação 2014,Subíndice de escolaridade - IDHM Educação 2015,Subíndice de frequência escolar - IDHM Educação 2012,Subíndice de frequência escolar - IDHM Educação 2013,Subíndice de frequência escolar - IDHM Educação 2014,Subíndice de frequência escolar - IDHM Educação 2015,IDHM Educação 2012,IDHM Educação 2013,IDHM Educação 2014,IDHM Educação 2015,IDHM Longevidade 2012,IDHM Longevidade 2013,IDHM Longevidade 2014,IDHM Longevidade 2015,IDHM Renda 2012,IDHM Renda 2013,IDHM Renda 2014,IDHM Renda 2015,IDHM 2012,IDHM 2013,IDHM 2014,IDHM 2015,Renda per capita 2000,Renda per capita 2010,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM Renda per capita Censo,Desagregação HOMEM Renda per capita Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER Renda per capita Censo,Desagregação MULHER Renda per capita Censo
Manoel Vitorino (BA),0.357,0.566,0.455,0.538,0.648,0.741,0.154,0.456,0.229,0.61,0.069,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.09,226.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansidão (BA),0.389,0.599,0.386,0.503,0.697,0.752,0.218,0.568,0.269,0.659,0.144,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.61,182.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantena (MG),0.57,0.675,0.659,0.666,0.726,0.803,0.388,0.575,0.467,0.692,0.267,0.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.88,505.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantenópolis (ES),0.528,0.657,0.598,0.636,0.702,0.81,0.351,0.551,0.438,0.702,0.226,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.46,417.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maquiné (RS),0.579,0.682,0.647,0.695,0.804,0.88,0.373,0.519,0.469,0.636,0.235,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.96,604.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maraã (AM),0.291,0.498,0.419,0.466,0.648,0.763,0.091,0.348,0.111,0.375,0.062,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.66,144.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marabá (PA),0.536,0.668,0.621,0.673,0.707,0.785,0.351,0.564,0.348,0.594,0.356,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.81,527.86,,0.65,,0.678,,0.705,,0.568,,0.601,,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.92,,0.7,,0.668,,0.876,,0.597,,0.629,,0.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.49
Marabá Paulista (SP),0.584,0.677,0.571,0.65,0.73,0.809,0.477,0.591,0.638,0.722,0.266,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.37,457.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maracaçumé (MA),0.391,0.582,0.513,0.546,0.601,0.719,0.194,0.501,0.223,0.586,0.147,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.34,239.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maracaí (SP),0.679,0.771,0.651,0.711,0.784,0.85,0.613,0.758,0.73,0.87,0.433,0.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.7,666.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maracajá (SC),0.627,0.768,0.741,0.752,0.807,0.861,0.413,0.699,0.527,0.822,0.253,0.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.3,861.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maracaju (MS),0.597,0.736,0.66,0.744,0.792,0.873,0.408,0.613,0.472,0.668,0.304,0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.24,819.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maracanã (PA),0.406,0.57,0.447,0.534,0.697,0.764,0.215,0.454,0.246,0.532,0.165,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.03,221.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maracanaú (CE),0.575,0.686,0.56,0.617,0.76,0.788,0.447,0.665,0.504,0.708,0.352,0.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.47,372.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maracás (BA),0.412,0.607,0.467,0.577,0.629,0.747,0.238,0.519,0.326,0.647,0.127,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.5,290.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maragogi (AL),0.419,0.574,0.465,0.556,0.714,0.766,0.222,0.443,0.263,0.513,0.158,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.21,253.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maragogipe (BA),0.456,0.621,0.491,0.582,0.698,0.793,0.277,0.518,0.326,0.604,0.199,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.15,300.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maraial (PE),0.347,0.534,0.436,0.541,0.607,0.698,0.158,0.403,0.183,0.489,0.118,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.49,232.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marajá do Sena (MA),0.309,0.452,0.417,0.4,0.637,0.774,0.111,0.299,0.168,0.417,0.048,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.07,96.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maranguape (CE),0.524,0.659,0.526,0.587,0.736,0.788,0.372,0.618,0.436,0.673,0.27,0.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.51,307.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maranhãozinho (MA),0.306,0.55,0.36,0.497,0.617,0.719,0.129,0.465,0.211,0.542,0.048,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.24,176.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marapanim (PA),0.448,0.609,0.478,0.57,0.742,0.76,0.254,0.521,0.28,0.586,0.208,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.36,277.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marapoama (SP),0.613,0.752,0.622,0.736,0.779,0.852,0.476,0.679,0.653,0.869,0.253,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.31,781.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mara Rosa (GO),0.54,0.691,0.584,0.68,0.772,0.838,0.35,0.579,0.415,0.719,0.25,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.99,548.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marataízes (ES),0.592,0.696,0.646,0.676,0.757,0.847,0.424,0.588,0.471,0.659,0.344,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.3,538.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maratá (RS),0.591,0.697,0.669,0.729,0.793,0.862,0.39,0.54,0.573,0.697,0.181,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.45,745.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maraú (BA),0.354,0.593,0.521,0.643,0.67,0.801,0.127,0.404,0.155,0.473,0.086,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.51,437.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marau (RS),0.678,0.774,0.715,0.773,0.805,0.857,0.541,0.699,0.626,0.749,0.404,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.43,980.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maravilha (AL),0.343,0.569,0.381,0.539,0.664,0.742,0.16,0.46,0.197,0.578,0.105,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8,229.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maravilha (SC),0.685,0.781,0.689,0.758,0.819,0.886,0.57,0.708,0.689,0.795,0.391,0.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583,896.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maravilhas (MG),0.561,0.672,0.587,0.645,0.77,0.845,0.39,0.558,0.511,0.676,0.228,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.56,442.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcação (PB),0.341,0.529,0.403,0.525,0.561,0.691,0.175,0.408,0.251,0.516,0.085,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.17,209.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelândia (MT),0.573,0.701,0.709,0.7,0.762,0.813,0.348,0.604,0.404,0.705,0.259,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.56,621.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelino Ramos (RS),0.631,0.724,0.657,0.735,0.799,0.834,0.478,0.618,0.601,0.745,0.303,0.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.84,777.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelino Vieira (RN),0.425,0.609,0.47,0.571,0.649,0.776,0.251,0.51,0.3,0.627,0.176,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.78,279.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcionílio Souza (BA),0.408,0.561,0.487,0.518,0.611,0.737,0.228,0.463,0.294,0.595,0.138,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.14,201.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco (CE),0.446,0.612,0.478,0.564,0.654,0.734,0.283,0.553,0.354,0.683,0.18,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.45,266.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcolândia (PI),0.396,0.562,0.506,0.578,0.632,0.7,0.194,0.438,0.237,0.536,0.129,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.55,291.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Parente (PI),0.466,0.59,0.511,0.58,0.643,0.717,0.307,0.494,0.394,0.612,0.187,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.53,295.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar de Espanha (MG),0.616,0.684,0.651,0.694,0.735,0.825,0.488,0.558,0.595,0.658,0.329,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.37,598.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marechal Cândido Rondon (PR),0.705,0.774,0.711,0.782,0.804,0.842,0.612,0.704,0.733,0.787,0.427,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.62,1036.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marechal Deodoro (AL),0.463,0.642,0.536,0.641,0.7,0.793,0.265,0.52,0.281,0.575,0.237,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.09,431.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marechal Floriano (ES),0.585,0.71,0.66,0.715,0.762,0.849,0.399,0.589,0.525,0.697,0.231,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.9,683.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marechal Thaumaturgo (AC),0.301,0.501,0.395,0.479,0.637,0.726,0.108,0.361,0.125,0.438,0.081,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.59,157.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marema (SC),0.634,0.743,0.686,0.748,0.849,0.862,0.438,0.636,0.635,0.797,0.208,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.77,840.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria da Fé (MG),0.572,0.702,0.62,0.646,0.737,0.842,0.409,0.637,0.556,0.788,0.222,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.9,445.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Helena (PR),0.58,0.703,0.557,0.68,0.761,0.842,0.461,0.607,0.58,0.76,0.291,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.89,552.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marialva (PR),0.647,0.735,0.694,0.733,0.745,0.814,0.525,0.666,0.604,0.748,0.397,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.41,765.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariana (MG),0.62,0.742,0.638,0.705,0.787,0.874,0.474,0.664,0.533,0.702,0.375,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.84,641.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariana Pimentel (RS),0.604,0.701,0.646,0.701,0.794,0.866,0.429,0.568,0.588,0.737,0.229,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.93,628.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariano Moro (RS),0.656,0.73,0.706,0.763,0.806,0.843,0.497,0.604,0.685,0.751,0.262,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.81,925.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marianópolis do Tocantins (TO),0.497,0.631,0.6,0.63,0.656,0.792,0.311,0.504,0.377,0.564,0.212,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.64,403.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariápolis (SP),0.634,0.718,0.601,0.684,0.769,0.83,0.552,0.651,0.726,0.746,0.319,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.55,565.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maribondo (AL),0.452,0.597,0.522,0.581,0.677,0.751,0.261,0.487,0.34,0.638,0.154,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.13,297.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maricá (RJ),0.637,0.765,0.705,0.761,0.742,0.85,0.494,0.692,0.519,0.712,0.447,0.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.83,910.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marilac (MG),0.465,0.615,0.528,0.609,0.695,0.781,0.274,0.488,0.307,0.601,0.219,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.32,354.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marilândia do Sul (PR),0.59,0.691,0.628,0.664,0.76,0.831,0.431,0.599,0.524,0.74,0.292,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.74,497.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marilândia (ES),0.597,0.696,0.613,0.668,0.762,0.823,0.456,0.612,0.599,0.79,0.264,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.52,510.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marilena (PR),0.575,0.681,0.603,0.651,0.783,0.828,0.403,0.585,0.513,0.739,0.248,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.72,461.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marília (SP),0.725,0.798,0.746,0.768,0.802,0.854,0.638,0.776,0.719,0.834,0.503,0.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.87,953.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariluz (PR),0.528,0.639,0.586,0.653,0.698,0.794,0.36,0.504,0.459,0.602,0.222,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.51,466.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maringá (PR),0.74,0.808,0.762,0.806,0.803,0.852,0.663,0.768,0.715,0.81,0.57,0.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.87,1202.63,,0.79,,0.81,,0.798,,0.773,,0.817,,0.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.37,,0.84,,0.802,,0.911,,0.8,,0.858,,0.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173.41
Marinópolis (SP),0.597,0.731,0.607,0.681,0.73,0.825,0.481,0.694,0.615,0.846,0.295,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.55,553.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
